,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2010-01-04,aapl,7.622499942779541,7.660714149475098,7.585000038146973,6.4707417488098145,493729600.0,0.0,0.0,6.492154376964431,6.460515243549485,100.0,66.66666666666448,100.0,6.4707417488098145,6.4707417488098145,20.040000915527344,0.0
0,2010-01-04,amzn,6.8125,6.83050012588501,6.6570000648498535,6.695000171661377,151998000.0,0.0,0.0,6.492154376964431,6.460515243549485,100.0,66.66666666666448,100.0,6.695000171661377,6.695000171661377,20.040000915527344,0.0
0,2010-01-04,ibm,125.41108703613281,127.12236785888672,125.0956039428711,76.76744079589844,6438444.0,0.0,0.0,6.492154376964431,6.460515243549485,100.0,66.66666666666448,100.0,76.76744079589844,76.76744079589844,20.040000915527344,0.0
0,2010-01-04,msft,30.6200008392334,31.100000381469727,30.59000015258789,23.431594848632812,38409100.0,0.0,0.0,6.492154376964431,6.460515243549485,100.0,66.66666666666448,100.0,23.431594848632812,23.431594848632812,20.040000915527344,0.0
1,2010-01-05,aapl,7.664286136627197,7.699643135070801,7.6160712242126465,6.481927871704102,601904800.0,1.0,0.0002509707059621391,6.492154376964431,6.460515243549485,100.0,66.66666666666448,100.0,6.476334810256958,6.476334810256958,19.350000381469727,0.0
1,2010-01-05,amzn,6.671500205993652,6.77400016784668,6.5904998779296875,6.734499931335449,177038000.0,1.0,0.0008862125567903334,6.770611147339964,6.658888955656862,100.0,-66.66666666666667,100.0,6.714750051498413,6.714750051498413,19.350000381469727,0.0
1,2010-01-05,ibm,125.88909912109375,126.05162811279297,124.37858581542969,75.8400650024414,7156104.0,1.0,-0.020806508186524297,77.61526032369336,74.99224547464648,0.0,-66.66666666666667,100.0,76.30375289916992,76.30375289916992,19.350000381469727,0.0
1,2010-01-05,msft,30.850000381469727,31.100000381469727,30.639999389648438,23.439159393310547,49749600.0,1.0,0.00016971734853754583,23.446075002648108,23.42467923929525,100.0,66.66666666666666,100.0,23.43537712097168,23.43537712097168,19.350000381469727,0.0
2,2010-01-06,aapl,7.656428813934326,7.68678617477417,7.526785850524902,6.378824710845947,552160000.0,2.0,-0.0028774363550763127,6.556980705066872,6.33068218250637,9.492268802529821,-100.00000000000121,42.05787824631324,6.443831443786621,6.443831443786621,19.15999984741211,0.0
2,2010-01-06,amzn,6.730000019073486,6.736499786376953,6.582499980926514,6.612500190734863,143576000.0,2.0,-0.0026539939570788817,6.80516687053112,6.556166658623339,23.837197937294647,-99.99999999999905,100.0,6.6806667645772295,6.6806667645772295,19.15999984741211,0.0
2,2010-01-06,ibm,124.93307495117188,125.70745849609375,124.1013412475586,75.3474349975586,5863144.0,2.0,-0.04178804822167592,77.42699890857233,74.54296162202664,0.0,-75.53463841375783,100.0,75.98498026529948,75.98498026529948,19.15999984741211,0.0
2,2010-01-06,msft,30.8799991607666,31.079999923706055,30.520000457763672,23.295310974121094,58182400.0,2.0,-0.004244477282949077,23.55059966601203,23.226777144697603,4.83749265000921,-100.00000000000314,100.0,23.388688405354817,23.388688405354817,19.15999984741211,0.0
3,2010-01-07,aapl,7.5625,7.5714287757873535,7.466071128845215,6.3670334815979,477131200.0,3.0,-0.004655496395939096,6.544769779152783,6.304494127326099,8.574172467881098,-115.10053046647832,61.78748215798361,6.424631953239441,6.424631953239441,19.059999465942383,0.0
3,2010-01-07,amzn,6.600500106811523,6.616000175476074,6.440000057220459,6.5,220604000.0,3.0,-0.008260883164183497,6.842801779675677,6.428198367190168,13.806326536595222,-129.72286397712128,100.0,6.635500073432922,6.635500073432922,19.059999465942383,0.0
3,2010-01-07,ibm,124.15869903564453,124.52198791503906,123.24092102050781,75.08660125732422,6109268.0,3.0,-0.05972404782130525,77.24138630792675,74.27938471868458,0.0,-109.08949959572628,100.0,75.76038551330566,75.76038551330566,19.059999465942383,0.0
3,2010-01-07,msft,30.6299991607666,30.700000762939453,30.190000534057617,23.05304718017578,50559700.0,3.0,-0.014894960180523498,23.665516050475517,22.9440401476446,1.8200059579796601,-133.33333333333334,100.0,23.30477809906006,23.30477809906006,19.059999465942383,0.0
